7:17,302,654,616,84,29,354,1102,508,115124
18:138,33443,31908,25266,22606,81980,47812,114848,14560,17123
19:19480,17,302,654,76,616,58,8,866,84
36:302,654,616,29,70,508,138,115124,119876,4249
37:654,518,508,138,301,21459,89285,74477,14846,3256
41:58,8,84,70,518,1102,138,289,101,21459
42:616,58,8,518,736,361,289,101,23010,20126
43:58,70,138,289,101,40326,50384,65615,120581,19118
44:17,302,654,76,616,58,8,84,29,650
45:2081,10352,670,14021,7056,65060,347,73696,14993,79096
46:17,302,654,58,84,29,70,518,224,1102
59:17,302,654,8,866,84,29,70,518,1102
60:17,302,654,76,866,29,354,301,361,115124
69:17,616,58,8,84,70,518,542,354,1102
70:17,866,224,361,79667,29363,94722,2081,103751,82058
94:302,8,29,81,518,542,508,301,736,15
106:17,302,654,76,616,58,29,650,564,542
115:17,302,654,76,616,58,84,29,650,70
116:81,138,16355,86701,661,21272,5097,117319,8667,7426
142:17,302,654,76,616,58,84,29,650,70
143:49245,89881,86747,17,302,654,76,616,58,8
148:81,224,226,508,138,19067,69833,9600,36711,32897
150:76,616,58,224,289,101,917,8,65615,19209
156:17,654,518,301,15,38911,35330,8694,8,690
161:17,302,654,616,58,8,84,29,518,354
171:17,302,654,616,58,29,542,508,289,101
172:17,302,616,29,650,138,15,917,17869,8
174:90200,5925,45977,20582,33107,103672,82864,74620,4608,17
177:302,29,34047,18931,6874,86725,82383,3807,7700,10581
196:17,302,654,58,8,84,29,70,518,1102
202:17,302,654,76,616,58,84,29,650,81
211:7466,110706,9790,74784,19749,4385,42318,34814,27638,33619
217:79529,9617,8,2045,60436,22606,4664,563,2769,36720
220:45641,13192,10178,11408,64973,32261,40356,40483,186,22713
223:17,58,542,138,301,736,15,361,289,101
224:4797,15846,24044,6417,3514,87041,103161,68162,53543,55158
225:17,650,354,138,15,9617,2394,76026,60986,22281
228:866,38911,3851,49611,110100,4536,72752,55572,4743,94902
229:17,302,654,76,616,58,8,29,650,70
231:17,650,564,508,736,8,2045,5503,22606,4664
232:48718,78975,86134,48256,99135,85366,77677,100265,77322,120622
238:508,3509,66145,79529,49392,14419,60436,4856,81665,13838
241:17,302,654,58,8,29,508,289,101,4628
245:40012,242,17,302,654,76,616,58,8,866
249:302,866,29,354,361,3509,66145,9617,85299,76026
250:17,302,76,29,650,508,15,38911,3256,9617
253:65520,3256,79529,32897,8,43526,8321,60436,26676,21272
257:302,654,76,616,58,8,29,650,564,518
272:17,302,84,29,1102,8,5117,7700,3839,11224
273:302,654,616,58,8,84,29,564,518,542
288:302,654,616,8,29,564,518,542,354,138
290:70,508,138,48900,2045,120581,103410,22606,17480,4664
291:8,5006,40479,3704,11720,62658,60439,813,1342,3551
292:17,302,58,8,84,29,650,518,354,1102
294:654,616,58,84,650,81,518,1102,289,101
328:17,12482,112940,26238,60839,19654,14758,395,319,837
331:302,29,36711,6837,105433,123134,100140,26310,7700,111944
345:11281,39936,11401,62840,29573,17,302,654,76,616
361:17,302,654,866,84,29,542,1102,361,19757
376:17,654,11592,8683,6874,13157,22370,2677,115125,20462
384:654,616,58,301,736,289,101,103199,3256,917
401:17,302,654,76,58,8,84,29,564,518
402:17,302,76,616,58,29,650,224,508,289
410:564,354,736,8,2045,43526,661,112433,76026,4342
448:17,616,58,518,508,138,289,101,38911,917
449:76,866,564,542,508,138,361,27084,29,9600
450:17,302,654,616,58,8,866,29,650,70
452:67959,87263,3296,87902,115030,101487,6463,25560,445,6231
476:35330,15398,5287,55446,13027,3278,6164,1190,12386,80453
488:654,616,8,84,650,1102,508,138,38911,75844
490:17,302,654,616,58,8,84,29,564,518
494:302,76,616,58,29,650,138,301,289,101
500:21171,10641,20045,5457,47243,236,5080,11210,4075,14750
514:11820,2394,86701,661,46265,7202,984,21171,4342,19209
525:17,302,76,8,29,81,226,9600,29886,70345
535:17,302,654,616,58,84,29,1102,508,736
536:17,302,29,564,508,35330,36711,8,2045,542
538:17,8,84,518,542,1102,2045,690,47992,21272
539:302,76,616,29,650,224,508,138,34047,42836
564:17,302,654,616,58,866,29,70,518,542
582:17,302,654,58,8,29,650,224,542,138
585:354,2045,686,29363,94722,76026,22606,4664,36720,2351
590:17,302,616,58,84,29,1102,138,289,101
601:121234,121660,18245,90054,31717,27912,118676,67228,90819,105155
618:81,70,9617,45273,101369,2769,20367,76361,3620,1097
624:71256,189,58237,6310,5818,124,14000,29373,31906,27045
627:41261,48502,68242,110991,27412,25293,42376,51158,14210,13348
628:608,75280,84119,6526,47601,65861,39233,17,302,654
632:98961,16386,36398,10816,40192,37442,70671,97298,36043,225
633:17,616,58,542,508,138,289,101,54638,38911
634:81,65135,16006,80690,43424,44254,22002,37074,23317,72728
646:866,361,45005,120581,262,35034,1155,16912,5548,10422
666:38772,17533,42355,19914,121609,122323,48477,12787,49392,31480
667:650,508,8,22281,6874,2769,13838,111944,15067,3618
669:46436,2337,10406,2869,17,302,654,76,616,58
678:616,84,1102,138,48261,917,37085,8173,486,8
680:302,76,58,29,564,542,138,289,101,9617
681:564,361,3509,66145,8,49392,111647,661,9223,103410
682:866,226,508,15,29,120393,79529,6003,32897,8
683:66734,113893,45128,6740,32065,110546,89303,663,112536,97127
684:11592,9935,8723,36534,2103,47350,25405,1902,9983,35577
715:82494,14375,112858,203,53494,52459,62433,66258,77269,100217
716:2394,5097,17480,92099,3439,5567,2955,38095,37600,48560
741:120393,79529,2045,60436,40601,7426,22606,3721,4664,114485
750:17,302,654,616,58,866,84,29,650,70
754:17,58,8,650,70,564,518,224,138,15
756:17,302,654,58,29,518,289,101,690,65615
757:736,39269,78027,13470,1499,107989,59541,819,364,5819
758:650,564,736,29,2394,73609,128,6874,2930,11652
763:302,654,76,616,58,84,29,1102,289,101
773:65543,101322,18341,7742,1534,110929,20656,753,1405,107742
774:302,654,76,616,58,29,70,518,542,508
775:17,302,654,616,58,8,84,29,650,1102
782:17,654,70,508,9617,8,2045,48523,71305,710
784:302,654,616,58,8,29,81,70,564,354
793:17,302,58,8,84,29,650,70,226,1102
803:138,29886,3862,60986,22606,17123,6450,5517,23047,4299
813:76,58,8,138,301,15,289,101,2976,9617
815:17,616,650,81,354,138,301,69747,79529,917
817:17,302,654,84,29,354,1102,18931,8,76026
818:32897,8,8321,63523,661,26676,14226,984,4342,15565
823:508,3509,66145,99658,30744,2045,58733,11592,5097,55830
825:17,302,654,76,84,29,564,354,226,1102
833:17,302,654,616,58,866,29,650,81,70
835:17,58,8,226,138,289,101,38911,41966,65615
838:17351,28371,50887,6344,857,8066,17,302,654,76
844:17,302,654,616,866,84,29,650,564,224
850:354,361,76026,30906,75000,5438,2430,16711,81337,829
856:17,302,654,76,616,58,8,866,84,29
857:17,302,654,616,58,29,289,101,38911,917
874:17,302,654,616,58,8,866,29,650,564
891:866,122068,22112,7194,624,4932,17,116449,361,546
899:654,354,508,138,8,2045,5907,100985,76026,80442
900:29,128,11652,12883,124,8746,44495,94331,3,1871
911:17,2045,9867,22606,4664,36720,2351,431,3937,901
918:76,564,354,508,301,15,361,8,2045,5503
925:736,18931,14328,11813,10541,6958,409,41657,5292,6820
926:17,302,654,616,29,508,138,301,15,917
937:17,8,84,518,224,1102,15,361,38911,9617
949:118218,1790,95433,17,302,654,76,616,58,8
964:301,37917,9617,65135,16006,8008,4422,55830,100985,5117
970:8,4300,518,50946,40295,7315,9093,19925,939,21794
977:17,302,654,76,616,58,8,866,84,29
981:508,49392,81665,13838,60877,15067,18513,107574,118222,82898
982:262,60986,84538,62620,18190,97879,819,14482,39641,518
984:302,84,29,518,1102,138,98218,89572,79529,101659
992:81,3509,66145,65135,16006,5503,71305,43424,86725,3807
993:17,302,8,866,29,650,70,7700,62658,3839
998:302,8,29,81,70,518,226,508,138,736
1000:17,302,654,76,616,58,84,29,650,564
1007:302,76,616,58,29,650,508,289,101,917
1027:40601,7426,36534,5488,96347,99257,2787,47350,901,42178
1028:654,8,84,1102,15269,5117,53667,62658,60439,813
1044:84,1102,8,29363,94722,710,5117,38533,17480,39894
1045:302,654,616,58,29,518,508,15,289,101
1049:34192,670,29290,8574,27923,33595,41249,9981,70267,3237
1068:97803,101069,6880,7675,14246,73569,69980,80097,114991,19304
1069:17,302,616,58,29,650,354,226,138,301
1070:302,654,76,58,8,29,518,138,289,101
1082:17,302,654,76,616,58,8,29,564,354
1083:108662,1034,4903,17,302,654,76,616,58,8
1088:76,70,564,518,9617,42184,690,4784,114909,2400
1094:17,302,654,76,58,8,866,84,29,650
1116:17,736,2045,10161,22606,4664,36720,2351,11720,431
1121:35863,736,26579,13384,17,19122,26550,101,289,17669
1125:17,58,8,866,81,70,518,354,226,508
1127:58,508,289,101,29,9617,65135,8,2045,4993
1132:616,81,19757,917,100985,22281,5117,2769,58123,22315
1133:17,302,654,616,58,866,84,29,70,564
1140:17,302,654,616,58,29,650,224,289,101
1141:32897,8,8321,26676,60729,4385,42318,51890,3716,47877
1148:55548,46098,90523,2045,54562,122651,43268,90738,22606,7685
1153:302,654,58,8,84,29,70,226,1102,15
1163:1097,17,302,654,76,616,58,8,866,84
1166:508,138,32897,8,686,8321,29886,5503,11592,2937
1172:302,58,29,650,564,518,542,508,138,361
1192:302,654,58,84,29,354,1102,508,138,736
1204:302,29,104562,108681,7700,3839,92099,11224,31783,4942
1208:17,34047,6874,8058,101322,6323,50589,18341,1119,2982
1209:508,38911,75176,6003,32897,8,12787,31480,68986,8321
1234:224,51842,6003,13366,86701,115531,7194,12430,262,80107
1236:61634,55893,85614,5066,75316,12975,1171,102412,17,5111
1245:17,68986,60986,21171,472,106094,861,819,14482,62
1263:302,654,616,58,29,15,289,101,917,2045
1267:17,58,289,101,65615,2769,111944,46227,5928,27320
